"","Departamento","Población Residente","Cantidad de Medios","Cantidad de Periodistas","Relación Población residente/medios","Relación población residente/periodista","Categoría","provincia","media_provincia"
"74","Guardia Mitre",899,0,0,0,0,"1","Rio_Negro",3569.64102564103
"75","Ingeniero Huergo",7513,3,5,2504.3,1502.6,"2","Rio_Negro",3569.64102564103
"76","Ingeniero Jacobacci",6261,5,22,1252.2,284.6,"3","Rio_Negro",3569.64102564103
"77","Lamarque",8234,1,2,8234,4117,"1","Rio_Negro",3569.64102564103
"78","Los Menucos",5187,0,0,0,0,"1","Rio_Negro",3569.64102564103
"79","Luis Beltrán",6797,4,13,1699.3,522.8,"2","Rio_Negro",3569.64102564103
"80","Mainqué",2783,0,0,0,0,"1","Rio_Negro",3569.64102564103
"81","Maquinchao",2494,1,4,2494,623.5,"1","Rio_Negro",3569.64102564103
"82","Ministro Ramos Mexía",973,1,4,973,243.3,"1","Rio_Negro",3569.64102564103
"83","Ñorquinco",565,0,0,0,0,"1","Rio_Negro",3569.64102564103
"84","Pilcaniyeu",823,0,0,0,0,"1","Rio_Negro",3569.64102564103
"85","Pomona",1032,0,0,0,0,"1","Rio_Negro",3569.64102564103
"86","Río Colorado",13828,4,11,3457,1257.1,"3","Rio_Negro",3569.64102564103
"87","San Antonio Oeste",21643,5,12,4328.6,1803.6,"3","Rio_Negro",3569.64102564103
"88","San Carlos de Bariloche",112887,6,37,18814.5,3051,"4","Rio_Negro",3569.64102564103
"89","Sierra Colorada",1542,2,7,771,220.3,"2","Rio_Negro",3569.64102564103
"90","Sierra Grande",7641,3,11,2547,694.6,"2","Rio_Negro",3569.64102564103
"91","Valcheta",3867,2,4,1933.5,966.8,"2","Rio_Negro",3569.64102564103
"92","Viedma",53618,9,86,5957.6,623.5,"4","Rio_Negro",3569.64102564103
"93","Villa Regina",33089,7,37,4727,894.3,"3","Rio_Negro",3569.64102564103
