"";"nam";"gid"
"253";"Comuna 3";242
"254";"Famaillá";420
"255";"General Donovan";499
"256";"Robles";243
"257";"Almirante Brown";251
"258";"Nogoyá";252
"259";"Tala";253
"260";"Loreto";246
"261";"Gualeguay";254
"262";"Federación";255
"263";"La Paz";256
"264";"Feliciano";257
"265";"Toay";448
"266";"Capital";244
"267";"Colón";247
"268";"Villaguay";248
"269";"Castelli";249
"270";"San Salvador";250
"271";"Libertador General San Martín";500
"272";"Coronel Pringles";501
"273";"Chacabuco";502
"274";"General Las Heras";298
"275";"Presidente Perón";258
"276";"Junín";280
"277";"Curuzú Cuatiá";526
"278";"San Miguel";463
"279";"Malvinas Argentinas";287
"280";"Brandsen";259
"281";"Chivilcoy";295
"282";"Alberti";296
"283";"Bragado";297
"284";"Carlos Casares";260
"285";"General Viamonte";300
"286";"Ezeiza";301
"287";"Angaco";514
"288";"Candelaria";473
"289";"Carlos Tejedor";261
"290";"25 de Mayo";262
"291";"9 de Julio";263
"292";"Pehuajó";264
"293";"Santa Bárbara";525
"294";"Trenque Lauquen";265
"295";"General Belgrano";266
"296";"Capayán";267
"297";"Monte";268
"298";"Roque Pérez";269
"299";"Olavarría";270
"300";"Merlo";271
"301";"Esteban Echeverría";272
"302";"Arrecifes";273
"303";"Capitán Sarmiento";274
"304";"General Felipe Varela";294
"305";"Carmen de Areco";275
"306";"Salto";276
"307";"Exaltación de la Cruz";277
"308";"San Miguel";278
"309";"San Andrés de Giles";279
"310";"Mercedes";281
"311";"Pilar";282
"312";"Luján";283
"313";"Hurlingham";284
"314";"Empedrado";464
"315";"Ituzaingó";465
"316";"Capital";466
"317";"Morón";285
"318";"Chacabuco";286
"319";"Godoy Cruz";349
"320";"Cafayate";350
"321";"San Luis del Palmar";467
"322";"San Cosme";468
"323";"Itatí";469
"324";"Berón de Astrada";470
"325";"Tres Lomas";318
"326";"Ayacucho";319
"327";"Guaminí";320
"328";"Ensenada";321
"329";"General Manuel Belgrano";476
"330";"Guaymallén";341
"331";"General San Martín";288
"332";"Lincoln";289
"333";"Laprida";322
"334";"San Isidro";323
"335";"Benito Juárez";324
"336";"Colón";325
"337";"Tolhuin";471
"338";"Capital";472
"339";"Ituzaingó";290
"340";"General Rodríguez";291
"341";"Suipacha";292
"342";"Tres de Febrero";293
"343";"Florencio Varela";302
"344";"Navarro";303
"345";"Cañuelas";304
"346";"Moreno";339
"347";"Cainguás";474
"348";"Libertador General San Martín";475
"349";"San Vicente";305
"350";"Lobos";306
"351";"General Alvear";307
"352";"Quilmes";308
"353";"Pila";309
"354";"General La Madrid";310
"355";"Bolívar";311
"356";"Chacabuco";340
"357";"Guaraní";477
"358";"Balcarce";312
"359";"Hipólito Yrigoyen";314
"360";"Oberá";480
"361";"Capital";444
"362";"Dolores";315
"363";"Azul";316
"364";"Daireaux";317
"365";"Juárez Celman";342
"366";"Capital";343
"367";"25 de Mayo";479
"368";"Figueroa";326
"369";"Saavedra";327
"370";"Monte Hermoso";328
"371";"Lobería";329
"372";"Berisso";330
"373";"Tordillo";331
"374";"San Fernando";332
"375";"Zárate";333
"376";"Ramallo";334
"377";"San Nicolás";335
"378";"Salavina";336
"379";"Pellegrini";337
"380";"Avellaneda";338
"381";"San Ignacio";481
"382";"Leandro N. Alem";482
"383";"San Javier";483
"384";"Maipú";346
"385";"Guachipas";347
"386";"Capital";348
"387";"Islas del Atlántico Sur";528
"388";"Pocho";529
"389";"San Martín";351
"390";"Conhelo";443
"391";"Junín";352
"392";"Castro Barros";353
"393";"General López";429
"394";"Constitución";430
"395";"Sanagasta";354
"396";"General Juan Facundo Quiroga";358
"397";"Chilecito";355
"398";"Caseros";431
"399";"Rosario";432
"400";"San Lorenzo";433
"401";"Iriondo";434
"402";"Belgrano";435
"403";"San Jerónimo";436
"404";"Ángel Vicente Peñaloza";356
"405";"Colón";357
"406";"Rosario Vera Peñaloza";359
"407";"General San Martín";360
"408";"Totoral";373
"409";"General San Martín";374
"410";"San Javier";375
"411";"Río Primero";376
"412";"Tinogasta";377
"413";"Marcos Juárez";378
"414";"Famatina";361
"415";"San Blas de Los Sauces";362
"416";"San Antonio";363
"417";"Cochinoca";403
"418";"Tumbaya";404
"419";"Dr. Manuel Belgrano";405
"420";"Rinconada";406
"421";"Ramón Lista";407
"422";"La Poma";408
"423";"Formosa";364
"424";"Andalgalá";365
"425";"Ambato";366
"426";"Paclín";367
"427";"Pilcomayo";368
"428";"El Alto";369
"429";"Tehuelches";370
"430";"Escalante";371
"431";"Ischilín";372
"432";"Leandro N. Alem";379
"433";"Libertador General San Martín";380
"434";"Gastre";381
"435";"General Arenales";382
"436";"Bermejo";383
"437";"Calamuchita";384
"438";"Capital";421
"439";"Cruz Alta";422
"440";"Lules";423
"441";"Rivadavia";385
"442";"Patagones";386
"443";"Juan Martín de Pueyrredón";387
"444";"General Pedernera";388
"445";"Tafí Viejo";425
"446";"Comuna 9";389
"447";"Junín";390
"448";"Mitre";391
"449";"Atamisqui";392
"450";"Burruyacú";426
"451";"Trancas";427
"452";"Tafí del Valle";428
"453";"Jiménez";393
"454";"Coronel de Marina Leonardo Rosales";394
"455";"Baradero";395
"456";"San Pedro";396
"457";"Santa Victoria";397
"458";"General José de San Martín";398
"459";"Rivadavia";399
"460";"Rosario de Lerma";400
"461";"Ledesma";401
"462";"Florentino Ameghino";410
"463";"Florentino Ameghino";411
"464";"La Cocha";412
"465";"Graneros";413
"466";"Juan Bautista Alberdi";414
"467";"Río Chico";415
"468";"Simoca";416
"469";"Chicligasta";417
"470";"Monteros";418
"471";"Leales";419
"472";"San Martín";437
"473";"La Capital";438
"474";"Rancul";442
"475";"Castellanos";439
"476";"Garay";440
"477";"Quemú Quemú";441
"478";"Catriló";445
"479";"Atreucó";446
"480";"Guatraché";447
"481";"Utracán";449
"482";"Sauce";450
"483";"San Martín";451
"484";"Paso de los Libres";452
"485";"Goya";453
"486";"Lavalle";454
"487";"San Roque";455
"488";"General Alvear";456
"489";"Concepción";457
"490";"Bella Vista";458
"491";"Santo Tomé";459
"492";"Saladas";460
"493";"General Paz";461
"494";"Mburucuyá";462
"495";"Concepción";484
"496";"Apóstoles";485
"497";"1° de Mayo";486
"498";"San Fernando";488
"499";"Valle Viejo";489
"500";"General Belgrano";498
"501";"San Lorenzo";490
"502";"2 de Abril";491
"503";"Lanús";492
"504";"Lomas de Zamora";493
"505";"Avellaneda";494
"506";"25 de Mayo";495
"507";"Libertad";496
"508";"Comandante Fernández";497
"509";"Comuna 15";503
"510";"Capital";504
"511";"Rivadavia";505
"512";"Santa Lucía";506
"513";"Rawson";507
"514";"Pocito";508
"515";"Zonda";509
"516";"Ullum";510
"517";"Chimbas";511
"518";"9 de Julio";512
"519";"Albardón";513
"520";"San Martín";515
"521";"Caucete";516
"522";"25 de Mayo";517
"523";"Sarmiento";518
"524";"Calingasta";519
"525";"Iglesia";520
"526";"Jáchal";521
"527";"Valle Fértil";522
"528";"La Plata";523
"529";"Mercedes";524
